id,combined_score,argumentative_rigor,originality_force,philosophical_depth,rhetorical_mastery
cc5ff111-240a-4232-bd1c-440fe8860e19,0.7145,0.68,0.74,0.71,0.77
e90459e5-008d-434a-b1dc-2bae6cb73cd4,0.7145,0.68,0.74,0.71,0.77
0588423a-cff4-4ff6-a897-31738b73504c,0.7134999999999999,0.68,0.74,0.71,0.76
132688cf-c45c-4fc6-8475-5e7c7c551919,0.7134999999999999,0.68,0.74,0.71,0.76
1e69e5d9-4118-4326-aa9e-72d81726305d,0.7134999999999999,0.68,0.74,0.71,0.76
2f95f4db-1bdd-4f51-8a3d-20c6545b707f,0.7134999999999999,0.68,0.74,0.71,0.76
359fc43e-3a9d-4d88-8b8f-4db540714757,0.7134999999999999,0.68,0.74,0.71,0.76
435ac3fb-0ea4-40ea-b595-afb7b1ea6f58,0.7134999999999999,0.68,0.74,0.71,0.76
4bef0b72-1809-4d6c-b42a-48b7e44b7cef,0.7134999999999999,0.68,0.74,0.71,0.76
99ecdf9e-0173-4844-a260-6237c8e18150,0.7134999999999999,0.68,0.74,0.71,0.76
a063dfd8-475c-4ad0-94f5-047858c6c139,0.7134999999999999,0.68,0.74,0.71,0.76
a9cef9a2-850a-4286-a12c-e558680f8667,0.7134999999999999,0.68,0.74,0.71,0.76
a9e3270b-64d9-4d50-8ae3-0b089cf55d22,0.7134999999999999,0.68,0.74,0.71,0.76
f23a3845-7895-4a93-af9e-a0b1e7ab7c61,0.7134999999999999,0.68,0.74,0.71,0.76
f83f0c67-731b-437d-b1b5-f06272d7b832,0.7134999999999999,0.68,0.74,0.71,0.76
fd99d5fe-90d9-44a4-a536-d0dc68ae44aa,0.7134999999999999,0.68,0.74,0.71,0.76
0713b1e6-2fbe-434e-ae44-ea69c85517b6,0.711,0.68,0.73,0.71,0.76
2dd4348e-4f8e-4796-9ea3-633704152206,0.711,0.68,0.73,0.71,0.76
479a60f9-1f04-44d9-96c5-f1db5d6e1e17,0.711,0.68,0.73,0.71,0.76
92ebebaf-a7a6-4326-bc7c-26152dd89dba,0.711,0.68,0.73,0.71,0.76
9883fa81-4154-4e04-8b04-8c1338a90cdc,0.711,0.68,0.73,0.71,0.76
c8bd1c9e-c729-4779-bb3b-aaaa8a50859a,0.711,0.68,0.73,0.71,0.76
ff0b45db-80d4-4c33-af1b-3b79c47469ee,0.711,0.68,0.73,0.71,0.76
5d38f751-1fb0-4451-bef2-268d99272e69,0.7095,0.68,0.74,0.71,0.72
7a3d2859-2f77-42f6-aee4-1ccfc62dac1b,0.7095,0.68,0.74,0.71,0.72
92672c87-9e00-400f-b79f-494209b454bd,0.7095,0.68,0.74,0.71,0.72
59db92d6-8e17-41cb-922a-1fe6bf65e70e,0.708,0.67,0.73,0.71,0.76
ba27a285-cf6a-4fcf-a3e8-b5228f3ef1b8,0.708,0.67,0.73,0.71,0.76
79163ecd-8f8a-48c9-866b-6018e18d76b1,0.7064999999999999,0.67,0.74,0.71,0.72
1323391c-a093-40de-82a8-dabf153fbdb5,0.7040000000000001,0.68,0.73,0.71,0.69
8b44f6f8-f1ba-42a8-b114-f30e3c95e9f4,0.7040000000000001,0.68,0.73,0.71,0.69
7986ad9d-dc2b-4968-a605-aab582f20d6d,0.7034999999999999,0.67,0.74,0.71,0.69
2f4b36b4-a895-4e5d-b03c-6dfbb4138657,0.6995,0.63,0.74,0.71,0.77
1aff1c98-900b-4f70-af70-5e98078bf564,0.6984999999999999,0.63,0.74,0.71,0.76
32ccd40b-7922-4e3b-8f9a-dab312c215b0,0.6984999999999999,0.63,0.74,0.71,0.76
41a1dfd9-3d97-4f86-98b1-1c45ac9e95ca,0.6945,0.58,0.76,0.71,0.82
68925caf-dc67-466f-bf78-c13b4579e9c4,0.6845,0.58,0.74,0.71,0.77
19a7ac6a-a773-4d34-96a7-3c7945506494,0.6835,0.58,0.74,0.71,0.76
a750bc8c-be56-4c71-81cc-2d203424b40e,0.6835,0.58,0.74,0.71,0.76
b85336df-766f-4a1c-8d78-69436d51dae1,0.6835,0.58,0.74,0.71,0.76
198753f1-91b2-45df-9833-68b7c3c31eaa,0.6815000000000001,0.63,0.68,0.71,0.74
848c2d43-1e23-4ee6-81fb-81cd01259c37,0.6815000000000001,0.63,0.68,0.71,0.74
1dc4f34b-3240-4f31-9722-7524990597c0,0.6785,0.62,0.68,0.71,0.74
9082000d-3f1b-43de-a110-f38d3cac38bd,0.6765000000000001,0.58,0.74,0.71,0.69
17eb0e8d-c65a-4277-b867-52bf52b672c5,0.675,0.61,0.72,0.68,0.74
846c3466-a99d-4dff-9219-18c895bd91a4,0.6744999999999999,0.62,0.71,0.68,0.73
4a04ce4f-e5b3-4d6f-8e5d-47043eed8d04,0.6675,0.52,0.71,0.76,0.68
360bb1e5-75dc-4f5c-8417-dd35e7259352,0.664,0.58,0.67,0.71,0.74
4273c7ee-3121-43b2-bf59-ef65182af31b,0.664,0.58,0.67,0.71,0.74
69c613b2-cb40-4549-b199-9cba65ee02e2,0.662,0.59,0.71,0.67,0.73
31943cb9-2170-4f35-8053-f7e89fa8c03a,0.6615000000000001,0.58,0.66,0.71,0.74
72ceffde-268e-49ee-95c7-7d2e3da97a5e,0.6615000000000001,0.58,0.66,0.71,0.74
d2630149-2da7-4fe6-8cd1-81c6efa4d8ba,0.6615000000000001,0.58,0.66,0.71,0.74
239aeae3-0187-404a-af4d-8a4db95185f2,0.6485,0.52,0.68,0.71,0.74
68878fee-1bc6-43a3-806c-7009a9960cf0,0.6485,0.52,0.68,0.71,0.74
6b3f2fb4-aace-41ec-af3e-456a9459ee2b,0.6485,0.52,0.68,0.71,0.74
dc943222-5107-46d9-8525-15621eaab3e7,0.6485,0.52,0.68,0.71,0.74
f6aa8545-1517-4051-9e58-5c4a2eb00f2d,0.6485,0.52,0.68,0.71,0.74
3014f7c4-7ad2-407d-bc7e-3e7291c5ee42,0.6459999999999999,0.52,0.67,0.71,0.74
560f1a2b-ca5a-4257-be1c-e340a1a6cb4b,0.6455,0.52,0.71,0.68,0.74
f3353237-c71a-4901-9440-8f35488bc7a7,0.6455,0.52,0.71,0.68,0.74
d4c43ec5-9caf-4955-9338-4c804e9bf818,0.645,0.51,0.72,0.68,0.74
0c241f08-87bc-48d6-a0f6-5f0385a18a87,0.642,0.52,0.71,0.67,0.74
5b5dcb6a-ec18-4cd7-94db-1a15d41de4a0,0.642,0.52,0.71,0.67,0.74
63ecd3ca-2ad2-4727-a52d-d114fca930b8,0.6355,0.52,0.71,0.68,0.64
0cb6b8d4-1347-4834-bfcc-279e42b619c4,0.6345,0.58,0.71,0.62,0.66
47ad6811-9ff1-4f67-929d-976a26b41227,0.6259999999999999,0.52,0.71,0.67,0.58
1cf6731e-f3d2-43dd-a4d4-9f9fe909fbd9,0.6214999999999999,0.43,0.68,0.71,0.74
dc1c0a95-3087-4b0b-b545-26c868994489,0.6204999999999999,0.51,0.63,0.68,0.72
ef0aab5c-cb70-44e6-bac7-9b232e1f7497,0.6204999999999999,0.52,0.61,0.68,0.74
33e5a81f-30e6-45b7-80cd-6ed2088ea5c1,0.6195,0.52,0.61,0.68,0.73
6b553b15-7c3e-42e8-b233-2579fbda8495,0.6184999999999999,0.42,0.68,0.71,0.74
b8eb5f34-65fc-4e6c-a45e-8f706a133f25,0.6184999999999999,0.42,0.68,0.71,0.74
