id,combined_score,phenomenological_authenticity,aesthetic_virtuosity,affective_force,literary_innovation,first_line
01d51f21-663a-4a1a-8fb9-304285843e64,0.6295000000000001,0.67,0.61,0.64,0.52,"Dear Leyi,"
0231dfc0-318c-45dd-bfc9-10638c55a95b,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
02393016-3a8a-4a52-938c-ebb208fd3249,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
13769460-8446-42f4-855c-c8565ff11e80,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
1ee85316-e250-4cca-84c0-1bd5cdf9e6ae,0.6154999999999999,0.71,0.52,0.68,0.41,"Dear Leyi,"
214ac988-cad8-46ab-be2b-2c48eda790ca,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
2a3e12a0-1b9d-4056-813a-a1a67dfa3943,0.634,0.71,0.58,0.67,0.44,"Dear Leyi,"
2cc4dc58-7f5b-4555-a951-d854a7b09ad3,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
30719fb7-a7dd-4305-bb75-78394a0ff47b,0.6795,0.71,0.68,0.66,0.62,"Dear Leyi,"
34a02bb6-5b97-4b37-8079-cdad8c1fcbe5,0.6495000000000001,0.67,0.64,0.66,0.58,"Dear Leyi,"
351edb63-e64e-4547-8d2e-514b2d9755b7,0.688,0.71,0.68,0.69,0.63,"Dear Leyi,"
371aa7e1-5fa5-4f65-b03a-e8161e7f4795,0.687,0.71,0.68,0.69,0.62,"Dear Leyi,"
3d22de8d-ea1a-4888-915a-1ba44b964b31,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
4027f76b-d245-4301-9f0d-43e55b14960e,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
4b9c2fd3-6cb4-45e8-8be5-9474f34e9301,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
52ecb328-33c1-40ff-bf5f-46b20040ed6d,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
562f2ff2-eca8-4605-a136-436210be768e,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
59fb5ef5-563e-48c6-bc55-403156629182,0.5539999999999999,0.67,0.43,0.61,0.38,"Dear Leyi,"
6648379f-fee9-434a-82fb-e6e92ae27565,0.7005,0.71,0.68,0.74,0.63,"Dear Leyi,"
6a31d26c-9711-4835-b439-a0a83cd3f09d,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
6c768b60-8b10-46d3-b1ab-91b4abb0f31c,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
6fc0e9c0-2e23-46c6-8e41-e4a765990462,0.5935,0.71,0.48,0.64,0.41,"Dear Leyi,"
7085143d-8799-4a79-81a8-b137a642f94c,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
76a25f88-365a-47e2-89c6-889b767bb6d6,0.6890000000000001,0.71,0.68,0.69,0.64,"Dear Leyi,"
77a6893a-81bf-41ed-8666-fd68417b06fc,0.5145,0.58,0.51,0.49,0.36,"Dear Leyi,"
77fb0734-cfbf-4ac6-b36a-3a235d195cf6,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
7fb71f1d-30e0-409e-93e1-aeca95127bb0,0.642,0.71,0.58,0.67,0.52,"Dear Leyi,"
882b9c35-23b3-4f45-bd8f-97d9f9ecd149,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
8ce3c171-defd-47ab-bf8a-10debfb3aee0,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
98b50217-1aea-4a86-9519-95a38262daf4,0.6265,0.71,0.54,0.68,0.46,"Dear Leyi,"
9bf40b14-f8ed-45c3-9915-d0dadcfd30a5,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
abfb83a8-60b9-46f2-a9f6-c03c8fe3ca0a,0.7439999999999999,0.78,0.71,0.76,0.68,"Dear Leyi,"
b0d82567-4d7f-4feb-a27e-d1f142f82e6e,0.69,0.71,0.67,0.73,0.58,"Dear Leyi,"
b9ca858f-f317-43f8-abe6-f39ed271667e,0.6184999999999999,0.71,0.52,0.68,0.44,"Dear Leyi,"
c6443ea2-4d5b-4820-9553-d36213d554f4,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
cbfa6574-1747-4c25-b63f-5e7eb6f50d2c,0.691,0.71,0.68,0.69,0.66,Leyi—
d1946736-3bb7-40c1-bd35-fe3d097a4903,0.6184999999999999,0.71,0.52,0.68,0.44,"Dear Leyi,"
d41e47d5-ad3d-42ae-a668-66e78af01383,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
d5996db3-2363-4dea-91c2-1095be7043e1,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
d87238bb-eeeb-461f-a473-856e2e11d0d5,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
e6702ae4-8f50-4953-8230-213fdb6c499e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
e685a6c9-b5b4-4e0c-81de-4e7bb307fa56,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
eb7f82e9-3582-4a2b-82b7-f1f3fc6b734d,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
ebcc743a-442b-40b9-94fc-6dd67e1ac238,0.6154999999999999,0.71,0.52,0.68,0.41,"Dear Leyi,"
ec19e200-d53f-46e8-ba91-98fb8385038a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
f09a6da4-95d6-4722-aebf-e739d4cb117e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
fac22fff-ea08-4b80-8dd5-5e1f19799e4a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
fca878ab-90ee-4a04-855e-76c6482b7a82,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
fe08eba9-4a53-46a4-a949-348ca8293907,0.679,0.71,0.68,0.73,0.44,"Dear Leyi,"
fff66587-b08f-4594-9dcc-4e5de84e1954,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
